"ID","Age","is_partner","% Conv","Store Visits","Chose a Service","Chose Date and Time","Jobs Booked","Jobs Amount"
"105819","4","1","0.021739130434782608","46","0","5","1","0"
"45774","33","1","0","13","0","0","0","0"
"7662","54","1","0","37","0","0","0","0"
"46128","32","1","0","4","0","0","0","0"
"75385","17","1","0.043478260869565216","23","0","4","1","0"
"101673","5","1","0.08490566037735849","106","0","11","9","0"
"106119","3","1","0.023809523809523808","42","0","3","1","0"
"99506","9","0","0","15","0","1","0","0"
"87836","15","1","0","4","0","0","0","0"
"100306","7","1","0.25","4","0","1","1","0"
"74154","5","1","0.19393939393939394","165","0","59","32","0"
"106618","3","0","0.1111111111111111","9","0","1","1","0"
"101900","7","0","0.04672897196261682","107","0","17","5","0"
"105876","2","0","0.03571428571428571","28","0","1","1","0"
"82270","15","0","0.2037037037037037","108","0","46","22","0"
"92505","2","1","0","10","0","0","0","0"
"95382","11","1","0","23","0","0","0","0"
"105552","4","1","0.045454545454545456","22","0","3","1","0"
"96650","6","1","0.043478260869565216","92","0","18","4","0"
"34533","38","1","0","10","0","0","0","0"
"106716","3","0","0.03636363636363636","110","1","11","4","0"
"72082","19","1","0","8","0","0","0","0"
"97697","9","1","0","34","0","2","0","0"
"46347","32","0","0","3","0","0","0","0"
"47721","31","1","0","32","0","1","0","0"
"40505","35","0","0","73","5","5","0","0"
"101506","7","0","0","139","0","2","0","0"
"100246","4","1","0.043478260869565216","23","0","1","1","0"
"100151","8","1","0","206","1","0","0","0"
"97452","7","0","0.03333333333333333","90","0","7","3","0"
"44142","33","1","0","28","0","1","0","0"
"64664","21","0","0","3","0","0","0","0"
"87032","13","0","0","16","0","1","0","0"
"105844","4","0","0.07142857142857142","14","0","3","1","0"
"76020","17","0","0","10","1","2","0","0"
"77701","17","1","0","6315","0","6","0","0"
"99320","6","1","0.015873015873015872","63","0","4","1","0"
"52342","28","1","0","4","0","0","0","0"
"103380","6","0","0","2","0","0","0","0"
"103335","6","0","0.033707865168539325","178","0","10","6","0"
"90858","13","0","0","2","0","1","0","0"
"102470","7","0","0.08831908831908832","351","0","39","31","0"
"70058","20","1","0","8","0","3","0","0"
"86480","3","1","0.023696682464454975","211","0","27","5","0"
"106804","2","1","0.045454545454545456","22","0","0","1","0"
"96130","11","1","0.0351493848857645","569","0","65","20","0"
"60807","23","0","0.025974025974025976","77","6","3","2","0"
"95652","6","1","0.05517241379310345","290","0","63","16","0"
"89230","13","1","0","4","0","0","0","0"
"102960","6","1","0.0625","32","0","3","2","0"
"101928","6","0","0","8","0","0","0","0"
